Paper ID,Conference,Topic,Title,Data Available,Expensive Compute,Reproducible,Generative Model
2570,NeurIPS 2024,Generative Models - Diffusion Models,Graph Diffusion Transformers for Multi-Conditional Molecular Generation (Graph DiT),Yes,No,Yes,Yes
14669,NeurIPS 2024,Generative Models - Diffusion Models,GenWarp: Single Image to Novel Views with Semantic-Preserving Generative Warping,Yes,Yes,No,Yes
3806,NeurIPS 2024,Generative Models - Diffusion Models,ROBIN: Robust and Invisible Watermarks for Diffusion Models,Yes,No,Yes,Yes
8763,NeurIPS 2024,Generative Models ,"StrategyLLM: Large Language Models as Strategy Generators, Executors, Optimizers, and Evaluators for Problem Solving
",Yes,No,Yes,Yes
1704,NeurIPS 2024,Generative Models - Diffusion Models,Score-based Generative Models Are Provably Robust: An Uncertainty Quantification Perspective,No,No,Yes,Yes
14353,NeurIPS 2024,Generative Models - Diffusion Models,Subject-driven Text-to-Image Generation via Preference-based Reinforcement Learning,Yes,No,Yes,Yes
8158,ICML 2025,Generative Models and Autoencoders,Towards a Mechanistic Explanation of Diffusion Model Generalization,Yes,No,Yes,Yes
3651,ICML 2025,Generative Models and Autoencoders,"Compressed Image Generation with Denoising Diffusion Codebook Models
",Yes,No,Yes,Yes
24,ICML 2025,Generative Models and Autoencoders,"How to Move Your Dragon: Text-to-Motion Synthesis for Large-Vocabulary Objects
",Yes,No,Yes,Yes
3792,ICML 2025,Generative Models and Autoencoders,"FlexTok: Resampling Images into 1D Token Sequences of Flexible Length
",Yes,Yes,No,Yes
866,ICML 2025,Generative Models and Autoencoders,"SongGen: A Single Stage Auto-regressive Transformer for Text-to-Song Generation
",Yes,No,Yes,Yes
2932,ICML 2025,Generative Models and Autoencoders,"Stochastic Forward–Backward Deconvolution: Training Diffusion Models with Finite Noisy Datasets
",Yes,No,Yes,Yes
16266,ICML 2025,Generative Models and Autoencoders,"Symmetry-Aware GFlowNets
",Yes,No,Yes,Yes
6550,ICML 2025,Generative Models and Autoencoders,"EQ-VAE: Equivariance Regularized Latent Space for Improved Generative Image Modeling
",Yes,Yes,No,Yes
200,ICML 2025,Generative Models and Autoencoders,"Ultra-Resolution Adaptation with Ease
",Yes,Yes,No,Yes
1337,ICML 2025,Generative Models and Autoencoders,"Efficient Generative Modeling with Residual Vector Quantization-Based Tokens
",Yes,Yes,No,Yes
5229,ICML 2025,Generative Models and Autoencoders,Improving the Diffusability of Autoencoders,Yes,No,Yes,Yes
9162,ICML 2025,Generative Models and Autoencoders,"Learning Monotonic Probabilities with a Generative Cost Model
",Yes,No,Yes,Yes
847,ICML 2025,Generative Models and Autoencoders,"Gaussian Mixture Flow Matching Models
",Yes,Yes,No,Yes
9910,ICML 2025,Generative Models and Autoencoders,"Tractable Transformers for Flexible Conditional Generation
",Yes,Yes,No,Yes
